,team_depth_1,score_depth_1,team_depth_2,score_depth_2,team_depth_3,score_depth_3,team_depth_4,score_depth_4,team_depth_5,score_depth_5,team_depth_6,score_depth_6,team_depth_7,score_depth_7,team_depth_8,score_depth_8,team_depth_9,score_depth_9,team_depth_10,score_depth_10
0, Alabama,0.9285714285714283, Clemson,1.5070524713381834, Clemson,1.767304112665011, Clemson,1.8731999394738825, Clemson,1.9131683399617256, Clemson,1.9276995541737336, Clemson,1.9328464696902117, Clemson,1.934627114328967, Clemson,1.9352324088509747, Clemson,1.9354351601671067
1, Clemson,0.9285714285714283, Alabama,1.4662087912087896, Alabama,1.7105647633807073, Alabama,1.80882302550161, Alabama,1.8462391262632354, Alabama,1.8598428644501714, Alabama,1.8646353433533347, Alabama,1.8662883377783122, Alabama,1.8668496478674277, Alabama,1.8670379489038422
2, W_Michigan,0.9230769230769229, Ohio_St,1.296184584646123, Ohio_St,1.4641032544945918, Ohio_St,1.5230161269700442, Ohio_St,1.5432980619815835, Ohio_St,1.5503817705856866, Ohio_St,1.552847223184141, Ohio_St,1.5536961182833056, Ohio_St,1.5539849985909244, Ohio_St,1.5540823077337167
3, Ohio_St,0.846153846153846, W_Michigan,1.2864084633315402, W_Michigan,1.4106504800560733, W_Michigan,1.4517050413098138, W_Michigan,1.4655990651142956, Washington,1.4715496033984836, Washington,1.4739035544364478, Washington,1.4746986928182446, Washington,1.4749652173408478, Washington,1.4750540788279485
4, Oklahoma,0.846153846153846, Oklahoma,1.2371794871794863, Washington,1.388621912425028, Washington,1.4447676553724962, Washington,1.4646444542119463, Oklahoma,1.470676383474749, Oklahoma,1.4731030268792458, Oklahoma,1.473931574482331, Oklahoma,1.4742114083535964, Oklahoma,1.474304958582984
5, Washington,0.846153846153846, Washington,1.2353864084633315, Oklahoma,1.3881115485136433, Oklahoma,1.443658272846892, Oklahoma,1.4636575950310504, W_Michigan,1.4702693259061246, W_Michigan,1.4718357360205647, W_Michigan,1.4723600719596108, W_Michigan,1.472534748525953, W_Michigan,1.4725926412886248
6, South_Florida,0.8333333333333334, Florida_St,1.174825174825174, Florida_St,1.3551581641616601, Florida_St,1.423517259058036, Florida_St,1.4484953698155498, Florida_St,1.4574054637459597, Florida_St,1.4605219223632948, Florida_St,1.4615923006306561, Florida_St,1.4619543845383702, Florida_St,1.4620752453134591
7, Wisconsin,0.7857142857142855, Wisconsin,1.1613802863802853, Penn_St,1.3006721460080621, Penn_St,1.3500494609313942, Penn_St,1.3667569727873987, Penn_St,1.3724820816416237, Penn_St,1.3744580341408936, Penn_St,1.3751355446697042, Penn_St,1.375365484581877, Penn_St,1.3754427573474832
8, Penn_St,0.7857142857142855, Penn_St,1.1564471243042658, Wisconsin,1.2974110339932061, Wisconsin,1.3449229671878629, Wisconsin,1.3616633088898402, Wisconsin,1.3675997981164705, Wisconsin,1.3696697608928907, Wisconsin,1.3703812072322359, Wisconsin,1.3706226207579684, Wisconsin,1.3707037192421814
9, San_Diego_St,0.7692307692307692, South_Florida,1.1466103341103338, South_Florida,1.25305186185868, USC,1.304465057839397, USC,1.3227909354101877, USC,1.3290526522634936, USC,1.3311820589939933, USC,1.3319023445430704, USC,1.3321446190118609, USC,1.3322256051504042
